Segmento,Tipo,.model,data,.mean,parada_covid
<aggregated>,<aggregated>,base,2025 nov,241153.128199868,0
<aggregated>,<aggregated>,base,2025 dez,226359.352114239,0
<aggregated>,<aggregated>,base,2026 jan,217972.962376271,0
<aggregated>,<aggregated>,base,2026 fev,234545.30235779,0
<aggregated>,<aggregated>,base,2026 mar,228902.38367613,0
<aggregated>,<aggregated>,base,2026 abr,242790.428631696,0
<aggregated>,<aggregated>,bu,2025 nov,241675.578744781,0
<aggregated>,<aggregated>,bu,2025 dez,225068.675415448,0
<aggregated>,<aggregated>,bu,2026 jan,219830.61580619,0
<aggregated>,<aggregated>,bu,2026 fev,234038.354002386,0
<aggregated>,<aggregated>,bu,2026 mar,228739.003954812,0
<aggregated>,<aggregated>,bu,2026 abr,240986.538405577,0
<aggregated>,<aggregated>,ols,2025 nov,241046.627144858,0
<aggregated>,<aggregated>,ols,2025 dez,225821.38948583,0
<aggregated>,<aggregated>,ols,2026 jan,218155.693936731,0
<aggregated>,<aggregated>,ols,2026 fev,234532.911961034,0
<aggregated>,<aggregated>,ols,2026 mar,228879.656871553,0
<aggregated>,<aggregated>,ols,2026 abr,242497.52996207,0
<aggregated>,<aggregated>,mint,2025 nov,240146.573485547,0
<aggregated>,<aggregated>,mint,2025 dez,225597.930729893,0
<aggregated>,<aggregated>,mint,2026 jan,217160.800630255,0
<aggregated>,<aggregated>,mint,2026 fev,234004.120273327,0
<aggregated>,<aggregated>,mint,2026 mar,228978.382350376,0
<aggregated>,<aggregated>,mint,2026 abr,241552.090737552,0
<aggregated>,<aggregated>,wlsv,2025 nov,241168.730746791,0
<aggregated>,<aggregated>,wlsv,2025 dez,225228.985848638,0
<aggregated>,<aggregated>,wlsv,2026 jan,218783.555127961,0
<aggregated>,<aggregated>,wlsv,2026 fev,234408.743747379,0
<aggregated>,<aggregated>,wlsv,2026 mar,228814.207979654,0
<aggregated>,<aggregated>,wlsv,2026 abr,241904.806889847,0
<aggregated>,<aggregated>,wlss,2025 nov,241089.63721807,0
<aggregated>,<aggregated>,wlss,2025 dez,225283.689808917,0
<aggregated>,<aggregated>,wlss,2026 jan,218606.850033186,0
<aggregated>,<aggregated>,wlss,2026 fev,234448.23817311,0
<aggregated>,<aggregated>,wlss,2026 mar,228831.025613765,0
<aggregated>,<aggregated>,wlss,2026 abr,242029.551280238,0
