data,energia,emplacamento,producao
Jan-12,542401,200352,210604
Feb-12,595901,188321,219068
Mar-12,633261,229688,313178
Apr-12,671321,199506,266275
May-12,595936,223755,286215
Jun-12,638259,281744,277722
Jul-12,610255,294187,301142
Aug-12,647720,340910,333316
Sep-12,656349,234000,289693
Oct-12,624859,281650,323940
Nov-12,664223,253473,314727
Dec-12,620088,286383,268504
Jan-13,550605.342,246870,291884
Feb-13,613339,189224,242072
Mar-13,599464,233808,329103
Apr-13,652715,273112,352328
May-13,689341,259878,344556
Jun-13,678360,262641,323853
Jul-13,657827,278053,316740
Aug-13,668155,266772,343562
Sep-13,674731,250585,322776
Oct-13,654969,267976,322677
Nov-13,679149,244925,293155
Dec-13,617540,286659,231107
Jan-14,491559,247758,237390
Feb-14,623606,212314,281627
Mar-14,621650,200983,272754
Apr-14,633724,243578,277091
May-14,603015,240592,281355
Jun-14,586774,216653,215943
Jul-14,535643,242149,254348
Aug-14,591983,223229,264637
Sep-14,599239,244578,300931
Oct-14,610414,254483,293328
Nov-14,623115,246801,264830
Dec-14,568787,307871,207597
Jan-15,453476.671,208143,204716
Feb-15,561071,154923,205953
Mar-15,547704,196859,256480
Apr-15,575774,183761,219623
May-15,527800,180314,213047
Jun-15,523710,179639,187608
Jul-15,510450,189936,223145
Aug-15,527848,173864,216991
Sep-15,511381,167704,176757
Oct-15,511756,162069,208097
Nov-15,523396,166934,173874
Dec-15,490527,190471,141798
Jan-16,392300,130178,152778
Feb-16,480379,125072,144333
Mar-16,505334,153248,200352
Apr-16,532038,141645,171298
May-16,503949,145663,178895
Jun-16,506677.139,149569,186250
Jul-16,505312.043,156868,191779
Aug-16,523037,159599,181197
Sep-16,509035,138294,172105
Oct-16,503138,140245,177570
Nov-16,518175.504,157651,219084
Dec-16,509142.388,178828,201143
Jan-17,439267.828,130407,179376
Feb-17,512805.597,121302,201763
Mar-17,514983.194,168248,236568
Apr-17,553790.566,139361,191554
May-17,503639.065,174445,253398
Jun-17,550613.983,174408,214838
Jul-17,529975.988,164043,225831
Aug-17,542505.207,193057,266489
Sep-17,569162.012,178894,239763
Oct-17,544248.714,181919,253906
Nov-17,563551.768,182631,254073
Dec-17,551474.679,186858,219697
Jan-18,525736.504,160277,219217
Feb-18,545287.563,138510,213498
Mar-18,569677.986,182935,267539
Apr-18,592030.839,190515,266549
May-18,562088.849,175634,212329
Jun-18,553504.28,175796,256311
Jul-18,572192.176,190151,245935
Aug-18,590138.778,218208,291099
Sep-18,566465.823,186998,223081
Oct-18,571044.396,225700,263186
Nov-18,569855.755,205106,244771
Dec-18,500527.489,206089,177503
Jan-19,511321.724,175856,199145
Feb-19,570016.618,176695,257939
Mar-19,566523.761,186204,240763
Apr-19,590350.425,205774,267561
May-19,595349.38,219849,275747
Jun-19,562176.949,200479,233150
Jul-19,569644.98,218492,266992
Aug-19,586073.253,216858,269758
Sep-19,571494.804,210017,247455
Oct-19,598089.413,228183,288519
Nov-19,569221.671,218723,227455
Dec-19,475463.391,233063,170504
Jan-20,487106.534,171155,191731
Feb-20,526906.885,179925,204206
Mar-20,523609.164,146460,189958
Apr-20,281136.494,47368,1847
May-20,288210.048,52396,43080
Jun-20,370371.04,115726,98447
Jul-20,460460.545,155692,170651
Aug-20,516375.276,165524,210009
Sep-20,544433.921,188514,220162
Oct-20,577458.25,196045,236468
Nov-20,574523.486,205097,238200
Dec-20,550359.171,222916,209296
Jan-21,546569.425,154986,200398
Feb-21,543510.676,153654,197035
Mar-21,573879.97,172024,200340
Apr-21,565505.372,157976,190907
May-21,551732.713,169237,192843
Jun-21,541315.963,158059,167547
Jul-21,540986.682,150973,164156
Aug-21,542000.579,149456,165330
Sep-21,551869.929,133164,174087
Oct-21,540380.999,140375,178965
Nov-21,541570.696,148304,205720
Dec-21,511660.974,177865,210925
Jan-22,487613.06,108397,145417
Feb-22,525845.736,117121,165935
Mar-22,554714.726,129060,184786
Apr-22,551787.761,128362,186037
May-22,540064.024,164228,205916
Jun-22,533588.419,151203,203598
Jul-22,539563.684,159259,218950
Aug-22,563610.371,184506,237961
Sep-22,566912.536,168802,207762
Oct-22,554172.804,158866,206044
Nov-22,551151.476,174009,215796
Dec-22,511139.169,187179,191567
Jan-23,505843.749,122410,152666
Feb-23,540851.319,112445,161518
Mar-23,562930.353,171426,221835
Apr-23,580685.411,138072,178853
May-23,553515.704,149064,227914
Jun-23,565321.591,161611,189182
Jul-23,542864.082,195853,183016
Aug-23,557425.668,173903,226954
Sep-23,577812.69,167769,208889
Oct-23,561707.283,183586,199758
Nov-23,570843.951,176842,202675
Dec-23,528885.957,203719,171578
Jan-24,480540.192,130132,152564
Feb-24,536110.497,137139,189684
Mar-24,575265.49,157124,195751
Apr-24,595220.67,184571,222115
May-24,594820.973,161348,166732
Jun-24,559113.658,175992,211035
Jul-24,568259.786,200050,246721
Aug-24,596381.626,196757,259613
Sep-24,603168.644,193770,229989
Oct-24,610870.45,217966,249114
Nov-24,622856.071,208730,236146
Dec-24,569485.217,204820,190131
Jan-25,534047.916,131944,179366
Feb-25,582593.935,149092,221279
Mar-25,586577.815,157909,193939
Apr-25,590489.67,171391,232172
May-25,580706.658,185996,219792
Jun-25,569930.771,174286,209872
Jul-25,565375.133,198054,239768
Aug-25,595408.824,185760,247032
